-,-,CMManagerAcc,-,-,CMManagerDevMotAcc,-,-,CMManagerDevMotAccGrav,-,-,Attitdue,-,-,-,AttitudeQuaternion,-,-,-,AttitudeRotationMatrix,-,-,CLManager,-,-,CMManagerDevMotMag,-,-,CMManagerMag,
Transaction,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,DOT,DIFF,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1
16-07-26_63_North7_Leg,0.009930765,-0.06618426,-0.066184261,0.002488564,0.089832223,0.089832223,2.36E-07,0.048194719,0.050818789,0.015861414,-0.86212545,-0.862125426,0.006388054,-0.902758864,-0.902758852,0.999944865,0.021013411,-,-,-,674.297405,-0.346842565,-0.346842562,4.502317111,0.990111303,0.990111303,119.5493586,-0.060918634,-0.060918649
16-07-26_63_North8_Leg,0.009731322,-0.154773294,-0.154773295,0.002796782,0.017885449,0.017885449,2.36E-07,0.020388096,0.017286659,0.014766005,0.896332501,0.896332499,0.005886421,0.877055699,0.877055697,0.999939424,0.022041303,-,-,-,674.3016351,-0.314630298,-0.3146303,4.443336487,0.990401779,0.990401779,119.7415279,0.124891551,0.124891557
16-07-26_63_North9_Leg,0.009647308,-0.244586601,-0.244586601,0.002950903,-0.168992676,-0.168992676,2.16E-07,0.260193991,0.250006962,0.014118526,0.208681339,0.208681341,0.005678621,0.677698224,0.677698221,0.999959198,0.018013347,-,-,-,674.5654548,-0.071362462,-0.071362463,4.73574197,0.983112009,0.983112009,119.3342788,0.041383733,0.041383734
16-07-26_72_North1_Leg,0.009925768,0.384420498,0.384420498,0.002674926,-0.10357786,-0.10357786,3.13E-07,-0.175169317,-0.177574905,0.006238516,-0.969440755,-0.96944075,0.002389081,-0.967988935,-0.967988934,0.999990208,0.008838929,-,-,-,666.9509226,-0.184096897,-0.184096894,3.94911648,0.953565876,0.953565876,119.5724255,0.575693248,0.575693244
16-07-26_72_North10_Leg,0.009667891,-0.07220267,-0.07220267,0.003029992,0.344212066,0.344212066,2.54E-07,0.176566846,0.168351555,0.008792586,-0.895347212,-0.895347213,0.003429325,-0.89359644,-0.89359644,0.99998692,0.010152571,-,-,-,666.7759508,-0.185168171,-0.18516817,3.85732215,0.951877642,0.951877642,119.0003149,-0.086753129,-0.086753116
16-07-26_72_North2_Leg,0.009443697,-0.047653222,-0.047653222,0.002996465,-0.079291072,-0.079291072,3.16E-07,-0.124082252,-0.123599966,0.006613087,-0.772309717,-0.77230986,0.002563432,-0.758710661,-0.75871065,0.999991396,0.008367265,-,-,-,666.8219721,0.280908582,0.280908586,4.20312845,0.951598648,0.951598648,119.2104815,0.21299413,0.212994138
16-07-26_72_North3_Leg,0.009735087,0.222027201,0.222027201,0.003403463,0.216250027,0.216250027,2.58E-07,0.078292163,0.076581623,0.008887692,0.908937696,0.908937699,0.003448279,0.899563115,0.899563121,0.999985204,0.010952971,-,-,-,666.8006512,-0.417551508,-0.417551508,3.792173531,0.979753136,0.979753136,119.4154101,0.128988967,0.128989002
16-07-26_72_North4_Leg,0.009396953,-0.163302248,-0.163302247,0.002952324,-0.156642794,-0.156642794,2.86E-07,-0.031392132,-0.034531828,0.006132866,-0.80157527,-0.801575271,0.002345574,-0.804920408,-0.804920398,0.999991153,0.008474374,-,-,-,666.7940764,0.272727759,0.272727758,3.732238104,0.990563319,0.990563319,119.3479459,-0.269744597,-0.269744561
16-07-26_72_North5_Leg,0.009791315,-0.026281474,-0.026281474,0.00299441,0.010973446,0.010973446,3.32E-07,-0.362392119,-0.351379812,0.007257173,-0.273862265,-0.273862193,0.002816026,-0.280730684,-0.280730739,0.999990437,0.00882447,-,-,-,666.8237257,-0.339992962,-0.339992966,3.657497664,0.990739334,0.990739334,119.2994215,-0.124912343,-0.124912332
16-07-26_72_North6_Leg,0.009905774,-0.140012834,-0.140012836,0.002960656,0.150097476,0.150097476,2.26E-07,0.062622467,0.048450158,0.008281493,-0.564593093,-0.564593102,0.003231883,-0.670143606,-0.670143569,0.999987969,0.00977119,-,-,-,666.7437108,-0.349862661,-0.349862659,3.69298193,0.990352393,0.990352393,119.230214,0.048912312,0.048912318
16-07-26_72_North7_Leg,0.009750412,0.151556213,0.151556213,0.003139544,-0.079363727,-0.079363727,2.66E-07,0.187714198,0.191307562,0.008652733,-0.026778396,-0.026778407,0.003388504,-0.119338674,-0.119338668,0.999987408,0.010095369,-,-,-,666.8824876,-0.227703353,-0.227703355,3.970497704,0.951983092,0.951983092,119.2004559,-0.150723223,-0.150723222
16-07-26_72_North8_Leg,0.00992385,-0.058560028,-0.058560027,0.002978984,-0.001447483,-0.001447483,2.77E-07,0.136294088,0.135251939,0.008169062,-0.903627523,-0.903627536,0.003170599,-0.897562875,-0.897562901,0.999986156,0.010474484,-,-,-,666.7524088,0.248539111,0.248539112,3.722067357,0.991187814,0.991187814,119.1592635,0.208865196,0.20886522
